review,rating,sentimen
makasih sudah sampai paketan nya ...mas kurir nya dah langanan ....tapi sayang nya keberasan tapi ya udah lah nanti di kecilin ..makasih lazada ,5,positif
"Barang nya cpt nympe nya,bgs.
mksh lazada.",5,positif
bahannya bagus. baju nya pas di pakai 👍,5,positif
alhmdllh brng udh nympe...alhmdllh jg bju ssuai dngn psnn...msh alhmdllh jg🤭🤭🤭bju ny pas d bdn sya😍😍😍pko ny beutiful deh....🥰🥰🥰🥰,5,positif
bajunya cantik walaupun warnanya aga' beda dengan realpict nya tapi model realpict banget bahan juga bagus,5,positif
dh nyampe Alhamduliah Semoga pelanggan ku suka. walaupun pasti kegedean. semoga ga komplen. bahan ok bagus lumayan bahan moscrepe mh..,5,positif
barang udah nyampa kak . realpict banget kurirnya ramah . cuman buat seukuran aku kegedean aku pesennya m tapi kayanya ini ukuran L . tapi overall aku syuka 😘😘,4,positif
alhamdulillah sesuai harapan 😍😍 muat bb 70kg 😂,5,positif
makasih..pesanan nya dah sampai dan sesuai apa yg di inginkn..sukses selalu,5,positif
Good sesuai pesanan ,5,positif
terbaik mmng pokoknya gk nyesel😘😘😘😘,5,positif
barangx udh sampai makasih lazada & kurirx ramah Dan sopan.,5,positif
lumayan bagus tapi celananya kecil ngatung,3,netral
"bagus sesuai harga


",5,positif
"kecewa lah
bajunya besar bnget mcem ukuran xl jumbo😏, ",3,netral
bajunya bagus real pict banget,5,positif
"Sesuai pesanan😍
Suka insyah allah next order lg",5,positif
bajunya bagus bangetttt cuma kepanjangan aja tp gpp lah nanti bisa d potong ,5,positif
"Paket nya udah mendarat.bajunya sih sama warna rilpik cuman rempel g nyampe ke babah cuman atas nya ajah.kalo rempel nya sama kaya di poto.bagus x ya.pasti aku lebih suka.tapi g ap"" lah .ttp bagus pas di badan aku..",5,positif
bgs bju nya tp gde bgt tp mau d jht lg dehhh,5,positif
kegedean bngt bajunya,5,positif
"Bagus cuma aga tipis,trs pngirimn nya lbh dari seharus nya,,nunggu na lma🤔,.
Kurir nya beda ga kya biasa nya,mungkin dia lelah x,😁 mka nya g sampe"".😁 mkch lazada,.",5,positif
"thanks dh brpa x order wlau 1 nya salah warna gk sesuai yg ku pesan, gk pp yg pnting realpict dan ke dpn nya lbh teliti lgi yaa.. ",5,positif
"barang sudh dtrima tpi syang ukurnnya kgedean..gede nya bnget lgi.....bhan lumyan bgus...untuk hrga sgitu standarlah sesuai harga...kurirnya ramah mksih lazada ....

",5,positif
"ok.barang sesuai pesanan.warna dan model cocok.bahan tebal.jahitan rapi...tnk u lzda
jika asa rejeki order lg😊",5,positif
maanntuuullll... bahannya bagus pas dibadan aq... pokoknya puas lah... kurirnya top markotop krm udh langganan,5,positif
Mantap sesuai pesanan ,5,positif
bajunya ga ngecewain,5,positif
Baju nya bagus aku suka top markotopppp deh poko nya mantulll..trimakasi lazada terimakasi bang kurir mudah2 lazada tambah sukes,5,positif
Sesuai gambar bahan lumayan tebal cuman kebesaran d badan ku makasih seller dan mas kurir makasih buat lazada jga...  Jdi gampang berbelanja bisa cod pula sukses teruss... ,5,positif
brng ok terim ksh lazada sellu is the best,5,positif
barang relpit tpi kepanjangan.,5,positif
"bahan nya bagus,cuman kebesaran aja ",5,positif
Bagus bajunya ,5,positif
Bagus bangett.. Bajunya dateng kemarin dan aku sukaa,5,positif
"wawwww bguss bgtt,sukak bgtt,makasih lazada dan kk selerr nya yg ramah ,respon cpett😍😍😍",5,positif
bgus bhannya,5,positif
Seneng bgt bagusss😍 mau order lagih,5,positif
"barang yhh udah nympe bgus saya suka,,mksh lazada",5,positif
mf baru kasih ulasan.bahan bagus.tar beli lgi,5,positif
"baju nya bagus banget, sangat pas, warna nya sesuai banget sama pesanan.... 
",5,positif
"Real pic,,,bgusss bgd,,,kurir juga ramah,,mkcihh",5,positif
"barangnya sudah sampai dan bahannya baguss,  sesuai pesananku😍Kurirnya ramah lagi🙏💙",5,positif
kurirnya ramah,5,positif
"Alhmdllh pesanan sy udh sampi, bahan bgs sesuai dgn gambar, kurirx ramah. mksh lazada. smg sllu lncr. ",5,positif
"bajunya bagus kakak nya ramah terimakasih lazada
",4,positif
baju x bagus realpic,5,positif
Sesuai,5,positif
bagus terima kasih,5,positif
Alhamdulillah sesuai harga cpt pengirimannya mksh lazada,4,positif
"bagus realpick,cuma kgedean...
tpi puas ko....",4,positif
"baju.y gede bgtttt, aq kira kyk toko sebelah,  tp ternyata baju.y itu bkn ukuran L tp kyk ukuran jumbo",3,netral
bagus bahannya,5,positif
"Bgus sih,, cba warnya ngk sesuai dgn gmbrnya",5,positif
kurang bagus,2,negatif
alhamdulillah s sampe pesanan,5,positif
gw sangat kecewa kurir kayak anjing gk ada ke sabaran kyk anjing gw males Belanja di Lazada ,5,positif
Bajunya bagus,5,positif
"bajunya kegedeann,tapi bagus sih",5,positif
"Bagus, sesuai dgn gambar",5,positif
"Ga sesuai pesanan, pesan'y Anha set tpi datang nya bukan ... Gmn nch mengecewakan sekali",5,positif
barangnya bagus trima kasih lazada,5,positif
gak kecewa belanja ditokok ini semoga amanah yah ..,5,positif
"baju nya saya suka 👍👍👍 , cuma pengirimannya saja yg lama.",5,positif
"gede banget bajunya 
malah harus di potong bajunya 
tapi barang nya okelah dengan harga segitu",5,positif
baju'a real pict abang kurir'a dah langganan makasih lazada,5,positif
baju nya ok bagus ..hanya kegedean buat saya ..jd hrus di kecilin dikit...g ap lah barang udh ok...,4,positif
bjunya bagus tp ke gedean😢,5,positif
bagus makasih baju nya tapi pengiriman nya lama,4,positif
barangnya mantap tapi kegedean 😀😌,5,positif
mantap baju by sesuai dengan keinginan 😍,5,positif
sesuai pesanan makasi y ka,5,positif
Barangnya udh nyampe bagus tapi besar banget makasih lazada,5,positif
bagus realpict bhan tebal warna sesuai cuman size nya gede ....,5,positif
"realpic bgt baju nya saya suka, cuman celana nya gede bgt.. 

makasih semoga sukses selalu.. ",5,positif
Alhamdulillah baju nya sesuai,5,positif
lumayan harga segitu bundaku suka,5,positif
mantul bnget say,5,positif
"barang bagus, terimakasih ",5,positif
bagusssss😍,5,positif
gede banget bajunyA.. harus di rombak lagi deh.. but    baju nya ku suka ,5,positif
mf baru kasih ulasan🙏🙏. baju nya super mantaf bguss bngtt sya mau order lgi😚😘😚😚😚,5,positif
"ok lah...,dpt bonus iner lagi terima kasih",5,positif
Tidak mengecewakan... ,5,positif
barang sesuai pesanan...anakku suka sekali,5,positif
real pick😙😙😙,5,positif
"Bagus banget kk , mf gk smpt motoin kk krna udah lnhlgsung diambil sma customer saya kk",5,positif
trmakasih paketan ny sdh smpe dn bgus dn mantap kurir ny . ok lazada trmakasih 👍👍👍,5,positif
bagus ka bajunya,5,positif
barang dah nyampe. ceper jg cuma 3 hari. bahannya panas. tp lumayan hanya saja celana kurang gede.,5,positif
Alhamdulillah tidak mengecewakan barangnya bagus ,5,positif
"bagusss bngetttt, mantap, sukses trus buat tokonya....",5,positif
Paket sudah sampai alhamdullilah bgus tapi celana besar bngt yaudah gpp😁,5,positif
barang bagus sesuai pesanan kurir nya baik banget,5,positif
mksh lazada...realpict.. 👌👌,5,positif
"paket saya sudah sampai...realpict ,cocoklah dengan harga",5,positif
makasih lazada barang bagus sesuai pesanan proses cepat kurir ramah,5,positif
kurir ramah barang bagus sesuai pesanan ,5,positif
"sya psen,nya milo ko yg datangnya dusty,,tpi gpp lah bju nya bgus ",5,positif
Sesuai pesan'n😊,5,positif
mantap 👍👍👍,5,positif
"paket dteng .
puas, ukuran nha pas ....
",5,positif
Bagus sesuai sama harga.....bahan ok.,5,positif
bajunya bagus sekali,5,positif
"realpict, sy suka mkasih lazada ",5,positif
Bgs bgt.....sayang y aq gak bs unggah foto knp yah setiap ngsh ulasan gak bs ksh foto....🤦🤦,5,positif
"udah belanja yg ke 2x,, mantaapp ga kecewa..",5,positif
kecewa bahan tipis,2,negatif
kecewa bahanx tipis sekali,2,negatif
😍😍😍 ,5,positif
puas sama gamis nya sesuai😀😀,4,positif
mantaaaabb bangeet bajuny aku suka.. bahanypun kereenn tmks lazada smoga tetap amanah,5,positif
bagus n okee deeh.,5,positif
memuaskan sekali,5,positif
syukaaaaaaa...😘😘😘😘😘,5,positif
Kebesaran ,2,negatif
"Sudah 2 x order slalu puas
Pngiriman jg cepat
Klw.ad diskon info yae
Mksih seller
Makasih lazada",5,positif
"realfict,kurir ramah",5,positif
Alhamdulilah baju nya buagus gk nyesel belanja d sini tanks ya kk ,5,positif
bagus sekali saya puasa dengan baju nya,5,positif
"aku suka baju nya,, tp sayang ada bercak hitam  di baju nya kaya luntur plat hitam yg bagian tangan nya,,, 
abang kurir nya  suami sendri😚",5,positif
"mksih brng pketny dh datang,,kecewa jga ya sya psen warna dusty eh dtang warna Milo,,mna pngrimanny lama,,,,mksih buat kurirny,,,,low bisa konfirmasi dlu low gkda wrna yg d psenn...",5,positif
"paket da d terima tapi kecewa, jaitan tidak rapi, benang panjang tidak d potong dan bahan panas murahan",5,positif
"Bintanya sya kurangi ya, karna aga kcewa bajunya ada noda hitam,, tidak bisa d cuci karna ada minyak²nya sprti dri bkas msein",4,positif
"pengiriman lama bangett, bajunya gede banget muat bb 70'n",3,netral
warna'ny beda jauh bgt sma yg di gambar,3,netral
ok,5,positif
"barang ok
",5,positif
bgusss,5,positif
bagus ,5,positif
Alhamdulillah barang nya Bagus ,5,positif
bagus..,5,positif
👍,5,positif
good,5,positif
mantul,5,positif
okeeee,5,positif
Bgs,5,positif
Realpich,5,positif
bagus ,5,positif
syuka tpi psen warna mika semu yg dtg 2 warna,5,positif
Saya pesan wrna army knp yg dtng warna pink,5,positif
Tipis banget bahan nya kirain agak tbal ,3,netral
bintang yg berbicara😊,3,netral
"brang nya udah nyampe terima kasih..
PENGIRIMAN nya sangat Lama bngtt la",3,netral
"Alhamdulillah brang sesuai pesanan..mksh lazada
",5,positif
bahannya baguss,5,positif
bagus banget bju nyh😍,5,positif
brang dah nyampe sya kecewa brangnya kurang bagus,3,netral
Bajunya gede banget jadi gak bisa di pake harus di kecilin dulu..😒,5,positif
Kurang memuaskan,5,positif
"bajunya bagus,,cuman rempel nya gak kelihatan ,,cuma sedikit",3,netral
bju ga sesuai poto bhan panaas ,2,negatif
bagus proses cepat kurir baik,3,netral
"saya sangat kecewa udah kainnya panas kalu dipakek,,,gak sesuai dg harga",5,positif
kebesaran... kepanjangan.. ,3,netral
barang tidak sesuay sama sabek lain kali di perhatikan,1,negatif
kecewa  bangettt 😭😭,1,negatif
gak sesuai apa yg di pesan kecewa,5,positif
bagus,5,positif
👍,5,positif
bgus,5,positif
Bagus ,5,positif
kebesaran,5,positif
