review,rating,sentimen
terima kasih sudah sampai paket nya mas kurir nya deh langanan tapi sayang nya beras tapi ya sudah lah nanti di kecilin terima kasih lazada,5,positif
barang nya cepat nympe nya bagus terima kasih lazada,5,positif
bahan bagus baju nya pas di pakai,5,positif
alhmdllh brng sudah nympe alhmdllh juga baju ssuai dngn psnn masih alhmdllh juga baju nya pas badan saya pko nya beutiful deh,5,positif
baju cantik walaupun warna aga beda dengan realpict nya tapi model realpict banget bahan juga bagus,5,positif
deh sampai alhamduliah moga langgan ku suka walaupun pasti gede moga enggak komplen bahan ok bagus lumayan bahan moscrepe mah,5,positif
barang sudah nyampa kak realpict banget kurir ramah cuman buat ukur aku gede aku sen tapi kayak ini ukur tapi overall aku syuka,4,positif
alhamdulillah sesuai harap muat bb kg,5,positif
terima kasih pesan nya deh sampai dan sesuai apa yang di ingin sukses selalu,5,positif
good sesuai pesan,5,positif
baik mmng pokok enggak sesal,5,positif
barangx sudah sampai terima kasih lazada kurirx ramah dan sopan,5,positif
lumayan bagus tapi celana kecil ngatung,3,negatif
bagus sesuai harga,5,positif
kecewa lah baju besar banget mcem ukur xl jumbo,3,negatif
baju bagus real pict banget,5,positif
sesuai pesan suka insyah allah next order lagi,5,positif
baju bagus banget cuma panjang saja tapi enggak apa lah nanti bisa potong,5,positif
paket nya sudah darat baju sih sama warna rilpik cuman rempel sampai ke babah cuman atas nya saja kalo rempel nya sama kayak di poto bagus ya pasti aku lebih suka tapi apa lah tetap bagus pas di badan aku,5,positif
bagus baju nya tapi gede banget tapi mau jht lagi deh,5,positif
gede banget baju,5,positif
bagus cuma aga tipis terus pngirimn nya lebih dari harus nya tunggu nya lama kurir nya beda enggak kayak biasa nya mungkin dia lelah mka nya sampai mkch lazada,5,positif
thanks deh berapa order walau nya salah warna enggak sesuai yang ku pesan enggak pp yang penting realpict dan ke depan nya lebih teliti lagi ya,5,positif
barang sudah dtrima tapi sayang ukurnnya kgedean gede nya banget lagi bhan lumyan bagus untuk hrga sgitu standar sesuai harga kurir ramah terima kasih lazada,5,positif
ok barang sesuai pesan warna dan model cocok bahan tebal jahit rapi tnk lzda jika asa rejeki order lagi,5,positif
maanntuuullll bahan bagus pas bad aku pokok puas lah kurir top markotop kirim sudah langgan,5,positif
mantap sesuai pesan,5,positif
baju enggak ngecewain,5,positif
baju nya bagus aku suka top markotopppp deh pokok nya mantulll trimakasi lazada terimakasi bang kurir mudah lazada tambah sukes,5,positif
sesuai gambar bahan lumayan tebal cuman besar badan ku terima kasih seller dan mas kurir terima kasih buat lazada juga jadi gampang belanja bisa cod pula sukses terus,5,positif
brng ok rim kasih lazada sellu is the best,5,positif
barang relpit tapi panjang,5,positif
bahan nya bagus cuman besar saja,5,positif
bagus baju,5,positif
bagus banget baju datang kemarin dan aku suka,5,positif
wawwww bguss banget suka banget terima kasih lazada dan kakak selerr nya yang ramah respon cpett,5,positif
bagus bhannya,5,positif
senang banget bagus mau order lagih,5,positif
barang yhh sudah nympe bagus saya suka terima kasih lazada,5,positif
maaf baru kasih ulas bahan bagus entar beli lagi,5,positif
baju nya bagus banget sangat pas warna nya sesuai banget sama pesan,5,positif
real pic bgusss banget kurir juga ramah mkcihh,5,positif
barang sudah sampai dan bahan bagus sesuai pesan kurir ramah lagi,5,positif
kurir ramah,5,positif
alhmdllh pesan saya sudah sampi bahan bagus sesuai dengan gambar kurirx ramah terima kasih lazada moga selalu lncr,5,positif
baju bagus kakak nya ramah terimakasih lazada,4,positif
baju bagus realpic,5,positif
sesuai,5,positif
bagus terima kasih,5,positif
alhamdulillah sesuai harga cepat kirim terima kasih lazada,4,positif
bagus realpick cuma kgedean tapi puas kok,4,positif
baju gede banget aku kira kayak toko belah tapi nyata baju itu bukan ukur tapi kayak ukur jumbo,3,negatif
bagus bahan,5,positif
bagus sih coba warnya enggak sesuai dengan gmbrnya,5,positif
kurang bagus,2,negatif
alhamdulillah sampai pesan,5,positif
gue sangat kecewa kurir kayak anjing enggak ada ke sabar kayak anjing gue malas belanja di lazada,5,positif
baju bagus,5,positif
baju kegedeann tapi bagus sih,5,positif
bagus sesuai dengan gambar,5,positif
enggak sesuai pesan pesan anha set tapi datang nya bukan bagaimana nch kecewa sekali,5,positif
barang bagus terima kasih lazada,5,positif
enggak kecewa belanja tokok ini moga amanah ya,5,positif
baju nya saya suka cuma kirim saja yang lama,5,positif
gede banget baju malah harus di potong baju tapi barang nya oke dengan harga segitu,5,positif
baju real pict abang kurir deh langgan terima kasih lazada,5,positif
baju nya ok bagus hanya gede buat saya jadi harus di kecilin dikit apa lah barang sudah ok,4,positif
bjunya bagus tapi ke gede,5,positif
bagus terima kasih baju nya tapi kirim nya lama,4,positif
barang mantap tapi gede,5,positif
mantap baju by sesuai dengan ingin,5,positif
sesuai pesan terima kasih kak,5,positif
barang sudah sampai bagus tapi besar banget terima kasih lazada,5,positif
bagus realpict bhan tebal warna sesuai cuman size nya gede,5,positif
realpic banget baju nya saya suka cuman celana nya gede banget terima kasih moga sukses selalu,5,positif
alhamdulillah baju nya sesuai,5,positif
lumayan harga segitu bunda suka,5,positif
mantul banget sayang,5,positif
barang bagus terimakasih,5,positif
bagusssss,5,positif
gede banget baju harus di rombak lagi deh but baju nya ku suka,5,positif
maaf baru kasih ulas baju nya super mantaf bguss banget saya mau order lagi,5,positif
ok lah dapat bonus iner lagi terima kasih,5,positif
tidak kecewa,5,positif
barang sesuai pesan anak suka sekali,5,positif
real pick,5,positif
bagus banget kakak maaf enggak sempat motoin kakak karena sudah lnhlgsung ambil sama customer saya kakak,5,positif
trmakasih paket nya sudah sampai dan bagus dan mantap kurir nya ok lazada trmakasih,5,positif
bagus kak baju,5,positif
barang deh sampai ceper juga cuma hari bahan panas tapi lumayan hanya saja celana kurang gede,5,positif
alhamdulillah tidak kecewa barang bagus,5,positif
bagus banget mantap sukses terus buat toko,5,positif
paket sudah sampai alhamdullilah bagus tapi celana besar banget yaudah enggak apa,5,positif
barang bagus sesuai pesan kurir nya baik banget,5,positif
