dpaais,"Warna:sesuai pesanan
Tampilan:ok

Saya sdh pesan 2 dan sesuai pesanan. Amanah dan ok bgt",1
novirain,"Tampilan:barang nya ok,,gk tipis cuma ada noda du bagian celana depan dan belakang tpi gak papa,,lumayan lah buat sehari hari mah
Warna:saya minta warna dusty pink tpi yg nympe lilac",0
purwanti099,"Warna:Navy
Tampilan:Oke

Paket sudah sampai,bagus cuman tipis,ntar di rangkep kaos klo makai,terimakasih",1
9jur90xkze,"Eeemm,,pesen nya warna coklat yg datang klu menurut sy si itu warna krem bukan coklat",-1
mozasyapitri656,"Warna:abu

pesen warna abu yang dateng warna hitam",-1
fatuyal,"Tampilan:bagus
Warna:sesuai",1
janatul12,Warna:kecewa bgt mnta wrna merah dkirim ungu,-1
a*****8,Barang bagusss. seller amanah. Yg dikirim sesuai apa yang di pesan..... Pengiriman cepatt sekali,1
rikaalfiastuti,"Sepadan dengan Uang:Jelek kaya baju harga 10 ribuan

Jangan mau beli baju di toko ini sumpah jelek banget kaya baju harga 10 ribuan, tipis banget dan gak amanah juga pesan warna abu yg di kirim warna Dongker, masih mending walaupun kualitas jelek tapi warna sesuai jadi sedikit amanah.

Buat kalian yg mau order disini mending gak usah kalau kalian gak mau nyesel",-1
mufidabila,"Saran Tampilan:gdhd
Kualitas:hs
Styling:hd

Yg d.pesan warna abu yg datang warna navy..😞
Tdk ada konfirmasi dulu kalo barang.nya d.ganti",0
jannahrasad,"Styling:jelek tdk puas
Kualitas:tidak bagus
Pas untuk Acara:enggak ada pantes  dipakai untuk acara",0
6t7cnl5hik,"Kualitas:biasa
Sepadan dengan Uang:murah
Kenyamanan:kekecila untuk badan ku yang Ukuran BB 67

Kekecilan tidak muat untuk BB 67",1
wooahae2206,"Sepadan dengan Uang:apaan sepadan
Pas untuk Acara:gak sesuai
Styling:beda banget

Kagak sesuai dengan model nya mana robek lagi bajunya",-1
akbarashenandara,"Sepadan dengan Uang:iya
Kenyamanan:kurang nyaman

Katanya LD 115,tapi kenapa ya gak muat cardi nya, saya LD cuma 105 .
Tolong perhatikan lgi ya, saya sudah nengok deskripsi sblum membeli tapi yg datang kekecilan",0
jihanfitrianaturmono,"Kualitas:bahan tidak sama seperti di gambar

Warna kurang pas pesan coklat datang coksu tapi tetap bagus suka kok",1
g2ms7ks33e,"Saran Tampilan:bagus
Pas untuk Acara:pergi saja
Kenyamanan:nyaman bngt

Bagus sesuai gmbar sesuai juga dengan harga y baju y muat celana y ketet bgt tp GPP lah bagus juga",1
darmanto572,"Styling:lumayan

Bahan tipis sesuai lah sama harganya..
Pengiriman cepat
Kurir ramah baik",1
dandiputra656,Gk sesuai warna yg di pesan....sangat buruk pengiriman jg lama.,-1
puputnurhidayah630,"Kualitas:baik
Saran Tampilan:warna nya bukan maroon . tp merah biasa .",1
dryqpt39l0,"Kenyamanan:bagus
Kualitas:baik
Saran Tampilan:mantap

Salah warna nya tpi bgus",0
j9lieekufh,"Sepadan dengan Uang:lumayan sesuai harga
Styling:kurang besar",0
veska457,"Sepadan dengan Uang:tidak
Kenyamanan:tidak
Saran Tampilan:lumayan",-1
fitha_150322,"Pas untuk Acara:-
Saran Tampilan:nerawang
Kenyamanan:-",0
khairulanwar3306,"Saran Tampilan:bugus
Pas untuk Acara:ap saja

Bugus sih.. TPI kain nx tipis dan baju nx pendak lagi...",0
muhammadfaturiansyah,Saran Tampilan:tak sesuai dgn gambar sangat kacewa,0
selvidiansaputri008,Barangnya sudah sampai kirain barangnya sama warnanya kayak di foto ternyata tidak,1
novahutabarat969,"Kualitas:Aku pesan,hijau,yg datng malah warna ungu",-1
divaamanda1909,"Pas untuk Acara:jelek
Saran Tampilan:jelek bahanya",-1
7cpexjsd9l,"Saran Tampilan:bagus
Kualitas:bagus

Apabila warna yang dipesan habis, segera konfirmasi lah, jangan asal kirim",1
dasniruesi687,"Pesan warna apa dapatnya warna apa, padahal pesan warna navy dapatnya warna hitam😩",-1
heninuraeni12345,"Styling:pesanan sudah mendarat dengan selamat..
Kualitas:hmmm kwalitas gak banget 🤭
Pas untuk Acara:malu makai nya 🤭",1
63xwkwlsqw,"Sedikit kecewa di pesan abu2 kok yg datang warna hitam,",0
syamsia578,"Kualitas:jelek
Styling:jelek

Tidak sesuai harga bahanx tipis dan jelek",-1
rositapitaa_2425,"Kenyamanan:bahannya tipis terawang 🤣
Saran Tampilan:celananya terlalu pas banget klau mau duduk takut sobek",0
dewimustika510,"Pas untuk Acara:bagus
Saran Tampilan:bagus
Kualitas:bagus

Alhamdulillah amanah",1
myjy1uctkc,"Kenyamanan:tidal sesuai do gambar
Sepadan dengan Uang:kainya tipis, tidak sesuai dengan uang",0
sriernia648,Hanya saja pengemasan nya berantakan didalem nya lipatan nya gak rapi,1
m3_mv4b7uu,"Kualitas:Kain tipis
Kenyamanan:kurang

pesanan gk sesuai😢",1
harianishifa,"Pas untuk Acara:d rumah
Kualitas:kurang tidak sesuai order warnanya

Kecewa gk sesuai ekspetasi dan gk sesuai warna yg saya order",-1
nuralyah231,Bahan lumayan bagus tpi kecewa siii yg d psan warna army yg DTG Mala warna ungu,0
