review,rating,sentimen
makasih paket nya mas kurir nya dah langanan sayang nya beras udah lah kecilin makasih lazada,5,positif
barang nya cpt nympe nya bgs mksh lazada,5,positif
bahan bagus baju nya pas pakai,5,positif
alhmdllh brng udh nympe alhmdllh jg bju ssuai dngn psnn msh alhmdllh jg bju ny pas d bdn sya pko ny beutiful deh,5,positif
baju cantik walaupun warna aga beda realpict nya model realpict banget bahan bagus,5,positif
dh nyampe alhamduliah moga langgan ku suka walaupun gede moga ga komplen bahan bagus lumayan bahan moscrepe mh,5,positif
barang udah nyampa kak realpict banget kurir ramah cuman buat ukur aku gede aku sen m kaya ukur l overall aku syuka,4,positif
alhamdulillah sesuai harap muat bb kg,5,positif
makasih pesan nya dah sesuai apa yg inginkn sukses selalu,5,positif
good sesuai pesan,5,positif
baik mmng pokok gk nyesel,5,positif
barangx udh makasih lazada kurirx ramah sopan,5,positif
lumayan bagus celana kecil ngatung,3,netral
bagus sesuai harga,5,positif
kecewa lah baju besar bnget mcem ukur xl jumbo,3,netral
baju bagus real pict banget,5,positif
sesuai pesan suka insyah allah next order lg,5,positif
baju bagus bangetttt cuma panjang aja tp gpp lah d potong,5,positif
paket nya udah darat baju sih sama warna rilpik cuman rempel g nyampe babah cuman atas nya ajah kalo rempel nya sama kaya poto bagus x aku lebih suka g ap lah ttp bagus pas badan aku,5,positif
bgs bju nya tp gde bgt tp mau d jht lg dehhh,5,positif
gede bngt baju,5,positif
bagus cuma aga tipis trs pngirimn nya lbh harus nya nunggu na lma kurir nya beda ga kya biasa nya mungkin lelah x mka nya g sampe mkch lazada,5,positif
thanks dh brpa x order wlau nya salah warna gk sesuai yg ku pesan gk pp yg pnting realpict dpn nya lbh teliti lgi yaa,5,positif
barang sudh dtrima tpi syang ukurnnya kgedean gede nya bnget lgi bhan lumyan bgus hrga sgitu standar sesuai harga kurir ramah mksih lazada,5,positif
barang sesuai pesan warna model cocok bahan tebal jahit rapi tnk u lzda asa rejeki order lg,5,positif
maanntuuullll bahan bagus pas bad aq pokok puas lah kurir top markotop krm udh langgan,5,positif
