review,rating,sentimen
warna sesuai pesan tampil ok saya sdh pesan dan sesuai pesan amanah dan ok bgt,5,positif
tampil barang nya ok gk tipis cuma ada noda du bagi celana depan dan belakang tpi gak papa lumayan lah buat hari hari mah warna saya minta warna dusty pink tpi yg nympe lilac,1,negatif
warna navy tampil oke paket sudah sampai bagus cuman tipis ntar di rangkep kaos klo maka terimakasih,5,positif
sen nya warna coklat yg datang klu turut sy si itu warna krem bukan coklat,1,negatif
warna abu sen warna abu yang dateng warna hitam,1,negatif
tampil bagus warna sesuai,5,positif
warna kecewa bgt mnta wrna merah dkirim ungu,1,negatif
barang bagusss seller amanah yg kirim sesuai apa yang di pesan kirim cepatt sekali,1,negatif
padan dengan uang jelek kaya baju harga ribu jangan mau beli baju di toko ini sumpah jelek banget kaya baju harga ribu tipis banget dan gak amanah juga pesan warna abu yg di kirim warna dongker masih mending walaupun kualitas jelek tapi warna sesuai jadi sedikit amanah buat kalian yg mau order sini mending gak usah kalau kalian gak mau nyesel,1,negatif
saran tampil gdhd kualitas hs styling hd yg pesan warna abu yg datang warna navy tdk ada konfirmasi dulu kalo barang nya ganti,1,negatif
styling jelek tdk puas kualitas tidak bagus pas untuk acara enggak ada pantes pakai untuk acara,1,negatif
kualitas biasa padan dengan uang murah nyaman kecil untuk badan ku yang ukur bb kecil tidak muat untuk bb,1,negatif
padan dengan uang apa padan pas untuk acara gak sesuai styling beda banget kagak sesuai dengan model nya mana robek lagi baju,1,negatif
padan dengan uang iya nyaman kurang nyaman kata ld tapi kenapa ya gak muat cardi nya saya ld cuma tolong perhati lgi ya saya sudah nengok deskripsi sblum beli tapi yg datang kecil,0,negatif
kualitas bahan tidak sama seperti di gambar warna kurang pas pesan coklat datang coksu tapi tetap bagus suka kok,1,negatif
saran tampil bagus pas untuk acara pergi saja nyaman nyaman bngt bagus sesuai gmbar sesuai juga dengan harga baju muat celana ketet bgt tp gpp lah bagus juga,1,negatif
styling lumayan bahan tipis sesuai lah sama harga kirim cepat kurir ramah baik,1,negatif
gk sesuai warna yg di pesan sangat buruk kirim jg lama,-1,negatif
kualitas baik saran tampil warna nya bukan maroon tp merah biasa,1,negatif
nyaman bagus kualitas baik saran tampil mantap salah warna nya tpi bgus,0,negatif
padan dengan uang lumayan sesuai harga styling kurang besar,0,negatif
padan dengan uang tidak nyaman tidak saran tampil lumayan,-1,negatif
pas untuk acara saran tampil nerawang nyaman,0,negatif
saran tampil bugus pas untuk acara ap saja bugus sih tpi kain nx tipis dan baju nx pendak lagi,0,negatif
saran tampil tak sesuai dgn gambar sangat kacewa,0,negatif
barang sudah sampai kirain barang sama warna kayak di foto nyata tidak,1,negatif
kualitas aku pesan hijau yg datng malah warna ungu,-1,negatif
pas untuk acara jelek saran tampil jelek bahanya,-1,negatif
saran tampil bagus kualitas bagus apabila warna yang pes habis segera konfirmasi lah jangan asal kirim,1,negatif
pesan warna apa dapat warna apa padahal pesan warna navy dapat warna hitam,-1,negatif
styling pesan sudah darat dengan selamat kualitas hmmm kwalitas gak banget pas untuk acara malu maka nya,1,negatif
sedikit kecewa di pesan abu kok yg datang warna hitam,0,negatif
kualitas jelek styling jelek tidak sesuai harga bahanx tipis dan jelek,-1,negatif
nyaman bahan tipis terawang saran tampil celana terlalu pas banget klau mau duduk takut sobek,0,negatif
pas untuk acara bagus saran tampil bagus kualitas bagus alhamdulillah amanah,1,negatif
nyaman tidak sesuai do gambar padan dengan uang kainya tipis tidak sesuai dengan uang,0,negatif
hanya saja emas nya beranta dalem nya lipat nya gak rapi,1,negatif
kualitas kain tipis nyaman kurang pesan gk sesuai,1,negatif
pas untuk acara rumah kualitas kurang tidak sesuai order warna kecewa gk sesuai ekspetasi dan gk sesuai warna yg saya order,-1,negatif
bahan lumayan bagus tpi kecewa siii yg psan warna army yg dtg mala warna ungu,0,negatif
mf baru kasih ulas bahan bagus tar beli lgi,5,positif
baju nya bagus banget sangat pas warna nya sesuai banget sama pesan,5,positif
real pic bgusss bgd kurir juga ramah mkcihh,5,positif
barang sudah sampai dan bahan baguss sesuai pesan kurir ramah lagi,5,positif
kurir ramah,5,positif
alhmdllh pesan sy udh sampi bahan bgs sesuai dgn gambar kurirx ramah mksh lazada smg sllu lncr,5,positif
baju bagus kakak nya ramah terimakasih lazada,4,positif
baju bagus realpic,5,positif
sesuai,5,positif
bagus terima kasih,5,positif
alhamdulillah sesuai harga cpt kirim mksh lazada,4,positif
bagus realpick cuma kgedean tpi puas ko,4,positif
baju gede bgtttt aq kira kyk toko belah tp nyata baju itu bkn ukur tp kyk ukur jumbo,3,negatif
bagus bahan,5,positif
bgus sih cba warnya ngk sesuai dgn gmbrnya,5,positif
kurang bagus,2,negatif
alhamdulillah sampe pesan,5,positif
gw sangat kecewa kurir kayak anjing gk ada ke sabar kyk anjing gw males belanja di lazada,5,positif
baju bagus,5,positif
baju kegedeann tapi bagus sih,5,positif
bagus sesuai dgn gambar,5,positif
ga sesuai pesan pesan anha set tpi datang nya bukan gmn nch kecewa sekali,5,positif
barang bagus trima kasih lazada,5,positif
gak kecewa belanja tokok ini moga amanah yah,5,positif
baju nya saya suka cuma kirim saja yg lama,5,positif
gede banget baju malah harus di potong baju tapi barang nya oke dengan harga segitu,5,positif
baju real pict abang kurir dah langgan makasih lazada,5,positif
baju nya ok bagus hanya gede buat saya jd hrus di kecilin dikit ap lah barang udh ok,4,positif
bjunya bagus tp ke gede,5,positif
bagus makasih baju nya tapi kirim nya lama,4,positif
barang mantap tapi gede,5,positif
mantap baju by sesuai dengan ingin,5,positif
sesuai pesan makas ka,5,positif
barang udh nyampe bagus tapi besar banget makasih lazada,5,positif
bagus realpict bhan tebal warna sesuai cuman size nya gede,5,positif
realpic bgt baju nya saya suka cuman celana nya gede bgt makasih moga sukses selalu,5,positif
alhamdulillah baju nya sesuai,5,positif
lumayan harga segitu bunda suka,5,positif
mantul bnget say,5,positif
barang bagus terimakasih,5,positif
bagusssss,5,positif
gede banget baju harus di rombak lagi deh but baju nya ku suka,5,positif
mf baru kasih ulas baju nya super mantaf bguss bngtt sya mau order lgi,5,positif
ok lah dpt bonus iner lagi terima kasih,5,positif
tidak kecewa,5,positif
barang sesuai pesan anak suka sekali,5,positif
real pick,5,positif
bagus banget kk mf gk smpt motoin kk krna udah lnhlgsung ambil sma customer saya kk,5,positif
trmakasih paket ny sdh smpe dn bgus dn mantap kurir ny ok lazada trmakasih,5,positif
bagus ka baju,5,positif
barang dah nyampe ceper jg cuma hari bahan panas tp lumayan hanya saja celana kurang gede,5,positif
alhamdulillah tidak kecewa barang bagus,5,positif
bagusss bngetttt mantap sukses trus buat toko,5,positif
paket sudah sampai alhamdullilah bgus tapi celana besar bngt yaudah gpp,5,positif
barang bagus sesuai pesan kurir nya baik banget,5,positif
mksh lazada realpict,5,positif
paket saya sudah sampai realpict cocok dengan harga,5,positif
makasih lazada barang bagus sesuai pesan proses cepat kurir ramah,5,positif
kurir ramah barang bagus sesuai pesan,5,positif
sya psen nya milo ko yg datang dusty tpi gpp lah bju nya bgus,5,positif
sesuai pesan,5,positif
mantap,5,positif
paket dteng puas ukur nha pas,5,positif
bagus sesuai sama harga bahan ok,5,positif
baju bagus sekali,5,positif
realpict sy suka mkasih lazada,5,positif
bgs bgt sayang aq gak bs unggah foto knp yah tiap ngsh ulas gak bs ksh foto,5,positif
udah belanja yg ke mantaapp ga kecewa,5,positif
kecewa bahan tipis,2,negatif
kecewa bahanx tipis sekali,2,negatif
besar,2,negatif
paket da terima tapi kecewa jaitan tidak rapi benang panjang tidak potong dan bahan panas murah,5,positif
bintanya sya kurang ya karna aga kcewa baju ada noda hitam tidak bisa cuci karna ada minyak nya sprti dri bkas msein,4,positif
kirim lama bangett baju gede banget muat bb,3,negatif
warna ny beda jauh bgt sma yg di gambar,3,negatif
ok,5,positif
barang ok,5,positif
bgusss,5,positif
bagus,5,positif
alhamdulillah barang nya bagus,5,positif
bagus,5,positif
,5,positif
good,5,positif
mantul,5,positif
okeeee,5,positif
bgs,5,positif
realpich,5,positif
bagus,5,positif
syuka tpi psen warna mika semu yg dtg warna,5,positif
saya pesan wrna army knp yg dtng warna pink,5,positif
tipis banget bahan nya kirain agak tbal,3,negatif
bintang yg bicara,3,negatif
brang nya udah nyampe terima kasih kirim nya sangat lama bngtt la,3,negatif
alhamdulillah brang sesuai pesan mksh lazada,5,positif
bahan baguss,5,positif
bagus banget bju nyh,5,positif
brang dah nyampe sya kecewa brangnya kurang bagus,3,negatif
baju gede banget jadi gak bisa di pake harus di kecilin dulu,5,positif
kurang muas,5,positif
baju bagus cuman rempel nya gak lihat cuma sedikit,3,negatif
bju ga sesuai poto bhan panaas,2,negatif
bagus proses cepat kurir baik,3,negatif
saya sangat kecewa udah kain panas kalu dipakek gak sesuai dg harga,5,positif
besar panjang,3,negatif
barang tidak sesuay sama sabek lain kali di perhati,1,negatif
kecewa bangettt,1,negatif
gak sesuai apa yg di pesan kecewa,5,positif
bagus,5,positif
,5,positif
bgus,5,positif
bagus,5,positif
besar,5,positif
seler respon cepat kwalitas ok baru sen hari selasa hari rabu uda sampai kurir langgan lazada mantap,5,positif
kirim cepat skali mlm pesan bsok barang datang baju real pict bahan stretch melar dan halus,5,positif
wajib langgan sih ini kirim kilat seller supperrr ramahh bahan bagus tebal adem suka bgt,5,positif
bhannya adem bengt melar lg dah beberapa beli semua pas bngt mksh lazada snowshop berkh ya bt kalian,5,positif
saya jadi curiga sama aplikasi lazada sudah saya kasi ulas yg sedikit kecewa tidak tampil sementara kalau ualasan yg puji tidak pernah gagal tampil kenapa ya screen shot atas adalah bukti langgan tidak beri ulas kata padahal saya sudah capek capek ketik huruf demi huruf panjang lebar ujung nya sensor tidak per,3,negatif
mf br smpt kasih ulas bjunya real pic bgus bgt tdak kcwa order tko ini brgnya cept nyampai bang kurir sdh langanan yg sllu antr rmh ramah next order lgi,5,positif
berani buka coz buat cust kyaknya realpick kirim cpt bgt order malam pagi da nyampek kurir jg rama ngasih info klo brg dtg,5,positif
paket udh sampe pngiriman cpt bgt paking juga rapih barang realpic bahan adem bgt aku syukak wlpun buat my moms pasti bakal syukak pkknya puas thanks lazada thanks seller moga ttp amanah,5,positif
barang bagus adem lentur walaupun pernah kecewa paket ilang alhamdulillah ada obat barang baru moga jadi langgan tahan kualitas,5,positif
alhamdulilah paket da sy terima maaf telat ksih ulasn baju baguuuss bahan adem jahit rapi pokoke gk kecewa blnja toko ini smga slalu amanah pasti nex blnja trus sini kurir baik dan ramah terimakasih bwt lazada,5,positif
masya allahallah baru kali ini belanja online bagus sesuai pesan gambar kadang di toko lain gak sesuai harap ini mah amanah bangetbanget toko nya respon juga cepat mas kurir juga ramah udh langgan moga sukses selalu buat toko nya bakal jadi langgan ini mah,5,positif
real pic muachhh makasih lazada,5,positif
alhamdulillah barang dah nyampe bagus pas di badan saya sesuai dengan pesan pokok nya mantap sukses terus lazada tahan kan kualitas nya,5,positif
makasih seler baju suka bangt bagus sesuaiii gambar poko puas bahan adem pakenya kurir ramah,5,positif
maaf lama nila harga produk baik pengirimn jg baik maksi sudah bkrja sm dngn baik ttp jdi langgann ya,5,positif
terimakasih barang nya sudah sampai dengan baik gamis bagus sesuai harga kurir juga ramah terimakasih lazada,5,positif
alhamdulillah kakak saya sangat suka dengan baju gak sia saya ngasih hadiah baju itu sama kakak saya,5,positif
kurir ramah bhan adem dan halus klo putih harus tetep pake dobel dalem krn agak nrawang tpi tetep bagus,5,positif
alhamdulillah paket udah nyampe barang real pect packing juga rapi kurir jg udah langgan terima kasih lazada,5,positif
real pick bahan adem walaupun tipis tapi tidak terawang inti good job dan untuk kurir mas rully makasih jadi langgan dan makasih juga untuk sellernya yg kirim sesuai pesan,5,positif
alhmdlh real pict ga kecewa kirim cpt trus kurir ny ramah buat seller nya juga cepet tanggap ny ma konsumen tahan kan ny ga nyesel blja di snowshop,5,positif
maaf baru kasih ulas yg pasti aq suka bajuy sesuai gambar,5,positif
baju bagus selller nya amanah,5,positif
oke banget custamer sy neng banget thanks to kurir yg dah jdi langgan mksh lazada toko moga sukses sllu,5,positif
alhamdulilah paket dah sampe bahan nya tebel adeeeem sesuai gambar pokok nya mantul deh kurir nya juga baik thanks seller lazada bakal langgan lagi neh,5,positif
alhamdulillah da sampai barang nya masuk saja klau bisa estimasi kirim barang nya di cepat donk,5,positif
alhamdulillah paket nya sudah datang kualitas bagus sudah kali order gk pernah kecewa thaks lazada makasih juga buat abg kurir,5,positif
mantef riel pic banget bhn adem langgan puas banget kurir super ramah lagi puas blnja di lazada thank you kirim juga cepat,5,positif
makasih barang sampai dan sesuai dengan gambar warna sama dengan pilih saya pokokny pas pertahanin jngan smpai langgan kecewa,5,positif
pkoe gk pernah nyesel atau kecewa dech udh kali sen tp ttp amanah dn memuaskn love sellerku dn mksih lazada,5,positif
baju sangat jelek sais xl cukup pakai anak anak bawahanya cupet sempit inti saya amat kecewa prodok lokal yg ngak mutu masa kalah sama produk impor diskon besar tapi baju masih bagus baju di loak samping rumah,5,positif
alhamdulillah brangnya udah dtang kmarin maaf bru skrang bisa konfir suka banget brangnya sesuai gmbarnya dan pngriman cepat,5,positif
ma af baru ngsih ulas bener cantik bajux suka bgt pokokx top markotop kurir jg baik emang toko yg amanah deh,5,positif
paket dah sampai realpick bagus banget jg cepat sasampai anak ikut coba seller nya amanah respon sngt cepat pengirimanya rekomendasi ntuk blanja sini ga prnh kecewa makasih buat seller makasih jg lazada,5,positif
kalau untuk yang ini ngk bisa bicara apa ngk pernh kecewa dan ini mesan yang sekian kali nya bagus,5,positif
sangat bagus sesuai pesan dan realpict,5,positif
alhamdulilah sesui gmbar mksh kk,5,positif
baju bagus sekali sesuai pict jual amanah bahan bagus adem ibu sangat suka trimakasih seller karna udah amanah,5,positif
maaf baru ngasih ulas terimakasih barang bagus banget tapi ada yg sedikit cacat bagi kerudung ngga masalah lain kali barang cek lagi kak moga bakal jadi langgan tahan kualitas nya ya makasih buat abang kurir,5,positif
gamis nya bagus bgt jaitan rapih tebel aku suka dan puas bgt pas ada diskon lg makasih selalu utama kn kualitas,5,positif
maaf brubksi tau paket udh dtng bju nya sangat bagus pas badan saya bahan nya juga adem badan bagussssssssssss banget saya suka terima ksi mas kurir ter ngirim paket saya mas kurir nya baik hti tidak sombong ramah terima ksi,5,positif
keren baju bagus adem tebal order lagi pcs,5,positif
gamis bagus sesuai gambar cuma udah pesan kok pendek semua yaaa apa aku yg tinggi tapi jauh ini aku puas belanja di lazada tingkat kan terus kualitas nya,5,positif
bagus baju sesuai keingonan,5,positif
baju bagus tp kok xl kecil apa salah kirim barang pdhl yg bli gamis ini bada gede,5,positif
assalamualaikum ka alhamdulillah gamis ny udh nyampe bagus bgtt harga murah kirim super cepat trimakasih kurir lazada next order lgi,5,positif
mantulll banget saya udah beli biji buat sragam aji,5,positif
alhamdulillah barang sudah sampai sesui pesan bahan nya adem nyaman pakai ukur pas kurir nya ramah terima kasih lazada,5,positif
untuk bahan bagusss banget adem enak dipake pas buat tubuh mamah saya terimakasih kepada lazada moga depan smkin maju dan sukses,5,positif
alhamdulilah barang dah sampe cepet bgt dtng nya pagi order bsk siang nyampe barang sesuai gambar tq lazada,5,positif
